ACN,Time_Date Time,Place_Locale Reference,Place_State Reference,Place_Relative Position.Angle.Radial,Place_Relative Position.Distance.Nautical Miles,Place_Altitude.AGL.Single Value,Place_Altitude.MSL.Single Value,Place_Latitude / Longitude (UAS),Environment_Flight Conditions,Environment_Weather Elements / Visibility,Environment_Work Environment Factor,Environment_Light,Environment_Ceiling,Environment_RVR.Single Value,Aircraft 1_ATC / Advisory,Aircraft 1_Aircraft Operator,Aircraft 1_Make Model Name,Aircraft 1_MSN ID,Aircraft 1_Aircraft Zone,Aircraft 1_Crew Size,Aircraft 1_Operating Under FAR Part,Aircraft 1_Flight Plan,Aircraft 1_Mission,Aircraft 1_Nav In Use,Aircraft 1_Flight Phase,Aircraft 1_Route In Use,Aircraft 1_Airspace,Aircraft 1_Maintenance Status.Maintenance Deferred,Aircraft 1_Maintenance Status.Records Complete,Aircraft 1_Maintenance Status.Released For Service,Aircraft 1_Maintenance Status.Required / Correct Doc On Board,Aircraft 1_Maintenance Status.Maintenance Type,Aircraft 1_Maintenance Status.Maintenance Items Involved,Aircraft 1_Cabin Lighting,Aircraft 1_Number Of Seats.Number,Aircraft 1_Passengers On Board.Number,Aircraft 1_Crew Size Flight Attendant.Number Of Crew,Aircraft 1_Airspace Authorization Provider (UAS),Aircraft 1_Operating Under Waivers / Exemptions / Authorizations (UAS),Aircraft 1_Waivers / Exemptions / Authorizations (UAS),Aircraft 1_Airworthiness Certification (UAS),Aircraft 1_Weight Category (UAS),Aircraft 1_Configuration (UAS),Aircraft 1_Flight Operated As (UAS),Aircraft 1_Flight Operated with Visual Observer (UAS),Aircraft 1_Control Mode (UAS),Aircraft 1_Flying In / Near / Over (UAS),Aircraft 1_Passenger Capable (UAS),Aircraft 1_Type (UAS),Aircraft 1_Number of UAS Being Controlled (UAS),Component_Aircraft Component,Component_Manufacturer,Component_Aircraft Reference,Component_Problem,Aircraft 2_ATC / Advisory,Aircraft 2_Aircraft Operator,Aircraft 2_Make Model Name,Aircraft 2_Aircraft Zone,Aircraft 2_Crew Size,Aircraft 2_Operating Under FAR Part,Aircraft 2_Flight Plan,Aircraft 2_Mission,Aircraft 2_Nav In Use,Aircraft 2_Flight Phase,Aircraft 2_Route In Use,Aircraft 2_Airspace,Aircraft 2_Maintenance Status.Maintenance Deferred,Aircraft 2_Maintenance Status.Records Complete,Aircraft 2_Maintenance Status.Released For Service,Aircraft 2_Maintenance Status.Required / Correct Doc On Board,Aircraft 2_Maintenance Status.Maintenance Type,Aircraft 2_Maintenance Status.Maintenance Items Involved,Aircraft 2_Cabin Lighting,Aircraft 2_Number Of Seats.Number,Aircraft 2_Passengers On Board.Number,Aircraft 2_Crew Size Flight Attendant.Number Of Crew,Aircraft 2_Airspace Authorization Provider (UAS),Aircraft 2_Operating Under Waivers / Exemptions / Authorizations (UAS),Aircraft 2_Waivers / Exemptions / Authorizations (UAS),Aircraft 2_Airworthiness Certification (UAS),Aircraft 2_Weight Category (UAS),Aircraft 2_Configuration (UAS),Aircraft 2_Flight Operated As (UAS),Aircraft 2_Flight Operated with Visual Observer (UAS),Aircraft 2_Control Mode (UAS),Aircraft 2_Flying In / Near / Over (UAS),Aircraft 2_Passenger Capable (UAS),Aircraft 2_Type (UAS),Aircraft 2_Number of UAS Being Controlled (UAS),Person 1_Location Of Person,Person 1_Location In Aircraft,Person 1_Reporter Organization,Person 1_Function,Person 1_Qualification,Person 1_Experience,Person 1_Cabin Activity,Person 1_Human Factors,Person 1_Communication Breakdown,Person 1_UAS Communication Breakdown,Person 1_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2_Location In Aircraft,Person 2_Reporter Organization,Person 2_Function,Person 2_Qualification,Person 2_Experience,Person 2_Cabin Activity,Person 2_Human Factors,Person 2_Communication Breakdown,Person 2_UAS Communication Breakdown,Person 2_ASRS Report Number.Accession Number,Events_Anomaly,Events_Miss Distance,Events_Were Passengers Involved In Event,Events_Detector,Events_When Detected,Events_Result,Assessments_Contributing Factors / Situations,Assessments_Primary Problem,Failure Code_Failure Code,Report 1_Narrative,Report 1_Callback,Report 2_Narrative,Report 2_Callback,Report 1_Synopsis
1958228,2025-04-16T12:01:00+00:00,ZZZZ.ARTCC,FO,,,,33000,,,,,,,,Center ZZZZ,Air Carrier,A321,MSN6424,,2,Part 121,IFR,Passenger,,Cruise,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,OTH,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,FIRST OFFICER,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1958228,,,,,,,,,,,,Aircraft Equipment Problem,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance,Human Factors; Aircraft,AIRCRAFT,,At cruise; FL330; aircraft began to vibrate; ECAM presented ENG 1 STALL. Ensured Captain remained pilot flying (PF) by stating 'Your Aircraft' and ran the Quick Reference Checklist. As I was running the Quick Reference Checklist the ECAM went away and the vibration subsided. We monitored engine parameters for abnormalities and found that the #1 Engine had a higher EGT than the #2 Engine but still in the green (normal limits). We (PF and (PM) pilot monitoring) began reviewing QRH material and potential diversion airports in the event the engine continued to have issues. We came up with a plan for enroute diversion if needed; and briefed what we should do if the engine failed on descent or on approach. Planned a Flaps 3 approach; reviewed Single Engine go-around and 10-7 requirements. The engine continued to run at about 30-60 degrees hotter than the #2 Engine; but still well within normal ops limits. No further vibrations at altitude. No issues during descent. I monitored and continued to write down EGT for both engines on descent (and presented to [contract maintenance]). Turning final at about 2;000-2;500 ft. MSL the #1 Engine began to vibrate slightly; as the gear was lowered and Flaps 3 was initiated the engine began to vibrate substantially; spitting and sputtering. I announced to the Captain (PF) that Engine #1 was failing based on the reduction in power and higher EGT. An ECAM appeared stating ENG 1 STALL. As we were about 3-4 miles from landing and immediately after ECAM I ensured Captain had the aircraft; reviewed the QRC; as the ECAM went away again PF pulled #1 thrust lever back as I guarded #2 thrust lever. I ensured Captain placed #2 thrust lever in maximum continuous thrust. We decided to continue on a Single Engine approach and landing after a very brief discussion (as we had already briefed this earlier in flight if the engine were to fail on final). I requested priority handling to ZZZ; stated nature of the situation (southeast landing; engine failure; Souls on Board; Fuel on board) and that we would taxi clear. The Captain (PF) landed uneventfully as the #1 Engine had remained in operating limits after reducing power. Upon landing I started the APU. As we taxied clear of the runway the Tower controller stated that the #1 Engine was on fire and that she saw flames coming out the back as well as smoke. We just then received an ECAM stating the ENG 1 OIL FILTER CLOGGED. The Captain immediately shut the #1 Engine down. I asked the Captain if he wanted to consider the evacuation checklist; but then The Tower Controller stated the flames had dissipated but there was a great deal of smoke still coming from the engine exhaust. Then the Tower Controller stated the smoke was subsiding. We did not attempt to run the evacuation checklist because the flames/smoke situation appeared under control. We had already stopped on the ramp area clear of other aircraft; and as the ARFF (Airport Rescue and Firefighting) trucks approached we attempted to gain comms with the trucks. We could not get the same frequency as the ARFF trucks and relayed information through the Tower Controller and attempted hand signals with the ARFF crew. The ARFF crews stopped approximately 30 yards from the front of the aircraft and approached without equipment as it appeared the fire had gone out. There were no indications of fire from inside the cockpit. After ARFF inspection we taxied to the hardstand area for further inspection before allowing passengers to deplane via air-stairs. It would have been nice to have the ARFF frequency available to communicate directly with ARFF as they approached rather than relaying through Tower frequency. Language barriers are often an issue in foreign countries but did not play a significant factor during this event. However; I am unsure if the Tower Controller actually knew what 'PAN PAN' meant.,,,,A321 First Officer reported receiving multiple ECAMS for the number one engine during cruise. The flight crew performed an in-flight shutdown of the affected engine and continued to the destination airport.
2000882,2025-04-16T12:01:00+00:00,ZZZZ.Airport,CA,,,1000,,,,,,,,,,Air Carrier,A319,MSN4535,,2,Part 121,IFR,Passenger,,Initial Climb,,,,,,,,,,,,,,,,,,,,,,,,,,OTH,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,PILOT,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,,,,2000882,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Check Pilot,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,,,,2000558,Aircraft Equipment Problem,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance,Aircraft,AIRCRAFT,,Flight was scheduled as Aircraft X on Day 0 from ZZZZ to ZZZ. Scheduled takeoff time was XA:20 local ZZZZ-time and scheduled landing time was XF:09 ZZZ-time. This was my 10th flight in the left seat during my Captain's IOE after flying as an A320 FO (First Officer) for approximately 5 years. Check Pilot was in the FO seat. Our clearance was on the ZZZZZ to ZZZZZ1 up to FL380. Preflight and taxi were normal. Takeoff was made by me from the Captain's seat off Runway XX. It was a flaps 3 flex mode takeoff with a slight headwind. Takeoff was normal through thrust reduction altitude. Just after thrust reduction at just over 1;000 ft. AGL; I maneuvered the aircraft to avoid a flock of approximately six what appeared to be large black birds that passed under the right wing. Just a few seconds later; a flock of approximately four of the same large black birds passed over the left wing; and at least one of those birds was ingested by the number one engine. There was a loud bang at the sound of the impact; the left engine immediately began vibrating loudly; and the Master Warning continuous repetitive chime went off. I said 'my aircraft;' continued flying aircraft; and engaged autopilot 1. The Check Pilot analyzed the situation and determined it was not a quick action item or ECAM exception. After a brief discussion; we decided that I would continue flying the aircraft and the Check Pilot would run the ECAM actions. At engine out acceleration altitude I selected the speed to 180 kt. and requested flaps 1 and continued climbing. We stayed at this speed and configuration until beginning the approach. We continued flying the ZZZZZ through the turn to the north for a short time while the Check Pilot worked through ECAM actions. We eventually reached 8000 ft. and leveled off.The Check Pilot and I each spoke to the FAs (Flight Attendant) over the cabin interphone during the first couple minutes after the bird strike. The FAs told us what they knew about the incident from their perspective. By the second time we spoke; the Check Pilot had put out the engine fire and I notified the FAs of this. The Check Pilot; who is fluent in the country's language and could communicate well with ATC; handled radio communications. All of his communications were in English. The Check Pilot [requested priority handling] as we were flying north on the ZZZZZ. Departure Control cleared us for a right turn direct to the airport; but the Check Pilot requested a more southerly heading to line us up for an approach; and also requested a descent to 6;000 ft. The Check Pilot requested ARFF (Airport Rescue and Firefighting) equipment to be positioned at the runway.The Check Pilot completed ECAM actions and QRH follow-up actions. I activated and confirmed approach mode; changed our destination to ZZZZ; and updated the PERF (Performance) Page with our landing weather. The Check Pilot loaded the RNP Y XY approach - ILS glideslope was out of service. The Check Pilot sent a message to Dispatch; and very calmly spoke with the FAs and passengers. He informed the FAs that we would be doing a precautionary landing back at ZZZZ. The Check Pilot gave the passengers a description of the situation and told them we were returning to ZZZZ. We ran the After Takeoff Checklist; Descent Checklist; and verified and briefed the approach. I flew towards ZZZZZ2 and flew through the inbound course to set up for a right turn to teardrop onto the inbound approach course. At some point before ZZZZZ2 inbound we leveled off at 6;000 ft. I configured with gear and flaps 3 prior to ZZZZZ3 and we ran the Before Landing Checklist. Autobrakes were medium. I landed on Runway XY and used full reverse thrust from engine number two and began braking immediately. We stopped just prior to Taxiway XX. The fire personnel looked over the aircraft and cleared us to taxi to parking. Ground Control cleared us to Gate XX where we parked the aircraft.Cause: Bird strike to the number 1 engine. Suggestions: Continue to emphasize the dangers of bird strikes.,,I am a Company Check Pilot. I was giving Operational Experience; OE; to a Captain upgrade; to include [several] location qualifications. The flight was the return flight; from ZZZZ to ZZZ; on Day 0. The Captain upgrade had already flown 8 flights and 7 landings with a previous Check Pilot; and was a previous First Officer on the A320 aircraft for approximately 5 years. Scheduled takeoff time was XA:20 local ZZZZ-time and scheduled landing time was XF:09 ZZZ-time. Our clearance was on the ZZZZZ to ZZZZZ1 up to FL380.Preflight and taxi were normal. We took off from ZZZZ at XA:31 local time from Runway XX. The takeoff was made by the Captain upgrade from the left seat. It was a normal flaps 3 flex takeoff with a slight headwind. At approximately 1;100 ft. AGL and just after thrust reduction; I saw a flock of approximately six large black birds on the right side of the aircraft. I called 'birds;' and the Captain upgrade maneuvered the aircraft to avoid the birds. Unfortunately; there was another flock of approximately 4 of the same birds on the left side of the aircraft; and immediately we heard a loud thump; accompanied by moderately loud vibration; followed by engine #1 fire indications.The Captain upgrade stated 'my aircraft' and continued flying the aircraft. I began the strategy; after analyzing the situation. After reviewing the Quick Reference Card; QRC; I determined it was not a quick action item or ECAM exception. Following a brief discussion; as a crew; we decided that the Captain upgrade would continue to fly the aircraft and I would run the ECAM actions.Upon reaching engine out acceleration altitude; I commanded the Captain upgrade to hold 180 kt. He requested flaps 1 and continued climbing. We maintained this speed and configuration until reaching 8;000 ft. MSL; while flying the ZZZZZ departure.The flight attendants called numerous times over the cabin interphone within minutes ensuing the bird strike. They reported smoke in the aft cabin and fire in the left engine. I told them we were aware of the situation and were in the process of taking appropriate action and returning to the airport. I asked them to remain calm and I would get back to them soon as conditions permit. I continued running the ECAM actions and was able to put the fire out after discharging the first bottle. It was at this time; I [requested priority handling] with ZZZZ Approach; who cleared us to proceed direct to the airport. I then requested a south heading and descent to 6;000 ft.; which enabled us to clear the local terrain. Additionally; it is the FAF intercept altitude for the RNAV Runway XY. During our thorough preflight planning from ZZZ; we became aware that the ILS was out of service in ZZZZ and not an option. Due to factors such as being fluent in the local language; I decided to handle all ATC communications; although all communications were accomplished in English. To follow suit; I then requested ARFF (Aircraft Rescue and Firefighting) equipment to meet the aircraft after landing; and completed the After-Takeoff Checklist.I accomplished the ECAM and QRH follow-up actions; then sent free text message to Dispatch; communicated to the flight attendants to give them a quick update on the situation and informed them that we would be doing a precautionary landing at ZZZZ. To conclude; I made a PA to the passengers and prepared to complete the remaining normal checklists before landing. The Captain upgrade changed the destination and I selected the RNAV Y Runway XY. He then activated and confirmed approach mode; updated the PERF (Performance) Page with current weather conditions and flew towards ZZZZZ2; IF. The Captain upgrade informed me he intended to fly through the inbound course to set up for a right turn to teardrop onto the inbound approach course. He was level at 6;000 ft. before ZZZZZ2. We briefed the highlights of the approach and completed the Before-Landing Checklist.The Captain upgrade questioned if we should land flaps 3 or flaps full; to which I decided on flaps 3; due to single engine go-around considerations. We configured with gear; flaps 3; and medium autobrakes prior to ZZZZZ3. Since it was apparent he had good aircraft control; I made the decision to continue to let him fly the approach and land overweight. He landed on Runway XY; using full reverse thrust from engine number two along with immediate manual braking. We came to a complete stop just prior to Taxiway XX. The fire personnel looked over the aircraft; clearing us to taxi to parking. Ground Control cleared us to Gate XX where we brought the aircraft to a final stop.Although we were visually inspected by ARFF personnel; I questioned their ability to assess and conduct firefighting procedures on the aircraft. My intuition further increased after personnel arrived up in a small yellow truck; with no alert or safety flashing lights. They were in direct communication with us and Tower; where communications were in the local language. I am still perplexed by what kind of safety equipment they use; their firefighting capabilities; and what initial and recurrent training consists of. Pilots need to be aware of what to expect in case of an emergency. I am awaiting further information from the ZZZZ General Manager.Cause: Flock of birds on both sides of the aircraft. Unfortunately; airports in ZZZZ2 do not have a wildlife animal control at their airports. It would be nice if something similar to what we do in the States could be introduced in these countries.,,A319 flight crew reported an inflight shutdown of engine #1 due to the indication of fire in the engine caused by a bird strike. The flight crew then performed an air turnback.
2106640,2025-04-16T12:01:00+00:00,ZZZZ.ARTCC,NY,,,,,,VMC,,,,,,Center ZZZZ,Air Carrier,A320,MSN5611,,2,Part 121,IFR,Passenger,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,OTH,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,CAPTAIN,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 182.7; Flight Crew Total 1607.40; Flight Crew Type 1313.35,,Communication Breakdown; Troubleshooting,Party1 Flight Crew; Party2 Dispatch,,2106640,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 125.95; Flight Crew Type 209.70,,Troubleshooting,,,2106634,Aircraft Equipment Problem,,,Automation Aircraft Other Automation,In-flight,Air Traffic Control Provided Assistance,Aircraft,AIRCRAFT,,Approaching the top of descent; we received a HYD Y RSVR LO LVL; the ECAM was announced; the FO remained Pilot Flying and assumed the radio. I completed the ECAM; briefed the status page; referred to the FM (Flight Manual) for any additional notes; and looked up the non-normal landing distance chart. I tried to confer with Dispatch and Maintenance; but the frequency the Dispatcher gave me did not work. We [requested priority handling) with Dispatch and ATC. I gave the flight attendants the briefing; and told them not to prep for evacuation; but to review all items in case another failure presented itself.  I made an announcement to the passengers quickly explaining the situation and offering reassurances. I then briefed the FO on the lack of reverser; and spoiler panels we wouldn't have and discussed how we would configure early to account for the slower flap speed. I briefed the approach; and then switched to the Pilot Flying while the FO took over the Pilot Monitoring duties. We rolled the fire truck for a precautionary measure. I flew the approach; adjusted my aim point to account for the longer landing roll. The landing and rollout were uneventful. We notified ATC after landing that the trucks were not needed. We taxied to the hard stand and accomplished the parking checklist.,,Near the time we were going to begin the initial descent into ZZZZ we received an ECAM for HYD Y RSVR LO LVL.  I announced the ECAM; and the CA told me to remain Pilot Flying while she initiated the actions required by the ECAM.  Once completed; the CA briefed me on the systems that were affected by this ECAM as well as updated landing data; and that she would assume Pilot Flying responsibilities for the approach and landing.  During that time the CA [requested priority handling].  The controls were transferred; and I assumed Pilot Monitoring responsibilities.  The approach flown by the CA was uneventful as well as the landing.  We did not require emergency service assistance; and were able to taxi to a pad adjacent the terminal.,,A320 flight crew reported receiving a HYD Y RSVR LO LVL message during cruise. Flight crew continued to destination airport and landed uneventfully.
2128733,2025-05-06T12:01:00+00:00,ZZZZ.ARTCC,CO,,,,,,,,,,,,Tower ZZZZ,Air Carrier,A320,MSN5613,,2,Part 121,IFR,Passenger,FMS Or FMC; GPS,Initial Climb,,,,,,,,,,,,,,,,,,,,,,,,,,OTH,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,FIRST OFFICER,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Distraction; Situational Awareness; Workload,,,2128733,,,,,,,,,,,,Aircraft Equipment Problem,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance,Aircraft,AIRCRAFT,,Flight with service to ZZZ [airport]; was scheduled to depart from ZZZZ [airport] at XA:43 local time. CA and FO arrived to the airport before report time (XZ:58) and the incoming flight was scheduled to arrive late. When incoming plane finally arrived; deplaning was completed and we had the chance to get to the plane; we were informed by the incoming flight crew that multiple ECAM failures were shown after landing and they suspected a lightning strike during the final approach so they were putting the note in the logbook and that can be checked out by local maintenance. Local Maintenance took control of the plane and performed multiple resets but they had no luck solving the issue. The plane was momentarily put on 'out of service' status and we were told that the flight was going to be cancelled. 10 minutes after; the CA received a call indicating that the plane was going to be repaired and we needed to stay at the airport. Around XF:30; we were called to get back to the plane and passengers were sent to board right after. Local operations and Operations Control were pushing our inflight crew to board even without CA 'ok to board' instruction given the circumstances. Maintenance was still on board working on tests to make sure everything was functional and the CA made an announcement to passengers stating that we were not taking a plane without making sure that everything was safe and working properly. The plane was finally repaired and after 6 hours total delay; it ended up with 2 MELs showing a SDAC 2 and FWC 2 deferred and the plane was authorized only for CAT I ops. CA and FO went over each MEL in detail and determined that everything was in compliance with the MELs. We started to prepared the cockpit for takeoff and everything was normal during taxi and takeoff roll. We were cleared to take off from RWY XX and follow the noise abatement procedures for the airport. FO was the PF and CA the PM. Then; during initial climb and about 1500 ft both pilots noticed multiple ECAM failures; caution warning and we noticed we lost EPR (Engine Pressure Ratio) 1 indication and ECAM instruction to shut ENG1 off but after checking temperature; N2 we noticed the engine was working properly. All the indications and alerts were coming in and out all the time and it was impossible to determine the root cause of the issue at that precise moment. PF leveled off at 3000 ft. and we decided we needed to get back immediately. FO remained as PF and PM requested an immediate return to the field due to multiple failure indications. We [advised ATC] and received instructions to make a right pattern to get back to RWY XX. During this time PF noticed ENG1 thrust was going up and down and decided to disconnect the auto thrust. That stabilized our speed control. During downwind; PM called inflight and gave them instructions for a code yellow preparation; made a PA to passengers advising we were returning to ZZZZ and advised dispatch. PM set up the approach for landing and PF focused on keeping the plane flying despite the multiple distractions from the ECAM indications. When we felt we were ready for the approach; we requested a right turn direct to ZZZZZ (IAF) for the RNP RWY XX. We were cleared for the approach and then cleared to land and PF hand flown the plane down to the ground uneventfully. Normal taxi to the gate was performed after touchdown. After that; local authorities and personnel approached to the plane and CA took care of the situation.,,,,A320 pilot reported being assigned to an aircraft that had been previously returned to service after a lightning strike. During initial climb; engine instrument indications became erratic and the flight return to the departure airport.
